title,body,correct_category
Segnalazione problema di sicurezza,"Buongiorno, vi segnalo una possibile criticità di sicurezza che ho notato nei vostri sistemi.",Tecnico
Non riesco ad accedere al sistema,Sto riscontrando problemi di accesso al sistema aziendale e non riesco ad autenticarmi correttamente.,Tecnico
Informazioni sulle soluzioni cloud,Vorrei ricevere qualche dettaglio in più sulle vostre soluzioni cloud per la gestione dei dati.,Tecnico
L’app continua a bloccarsi,Dopo l’ultimo aggiornamento l’applicazione si blocca spesso e diventa difficile lavorare.,Tecnico
Richiesta di supporto tecnico IT,Avrei bisogno di supporto tecnico per sistemare alcuni aspetti della nostra infrastruttura IT.,Tecnico
Difficoltà nell’integrare i dati,Stiamo avendo problemi nell’integrare dati provenienti da sistemi diversi all’interno della piattaforma.,Tecnico
Consulenza per analisi avanzate,Saremmo interessati a una consulenza su come utilizzare al meglio le analisi avanzate dei dati.,Tecnico
Servizio non disponibile,Il servizio risulta non disponibile senza alcun preavviso e questo sta creando disagi operativi.,Tecnico
Bug nel software,Ho notato un bug nel software che produce risultati incoerenti durante l’elaborazione dei dati.,Tecnico
Richiesta di una demo del prodotto,Sarei interessato a vedere una demo del vostro prodotto per capirne meglio le funzionalità.,Tecnico
Possibile problema di sicurezza dei dati,Credo ci sia un problema di sicurezza che potrebbe mettere a rischio alcuni dati sensibili.,Tecnico
Il sistema è molto lento,"Negli ultimi giorni il sistema è diventato molto lento, soprattutto con operazioni complesse.",Tecnico
Quando arriva il prossimo aggiornamento?,Vorrei sapere quando sarà disponibile il prossimo aggiornamento del software.,Amministrazione
Report con dati errati,I report generati dal sistema non sembrano coerenti con i dati originali.,Tecnico
Aiuto per la migrazione dei dati,Avremmo bisogno di supporto per spostare i dati da un vecchio sistema a uno nuovo.,Tecnico
Problemi di compatibilità,Stiamo riscontrando problemi di compatibilità tra il vostro software e i nostri sistemi.,Tecnico
Chiarimenti sui costi,Potreste darmi qualche informazione in più sui costi e sui piani disponibili?,Tecnico
Tentativo di accesso sospetto,Abbiamo rilevato un tentativo di accesso sospetto al sistema.,Tecnico
Dati non sincronizzati,I dati non risultano sincronizzati correttamente tra i vari moduli.,Tecnico
Supporto per utilizzo API,Avrei bisogno di aiuto per integrare correttamente le vostre API.,Tecnico
Backup non completato,Il backup automatico non viene completato e non capiamo il motivo.,Tecnico
Richiesta di formazione,Saremmo interessati a fare formazione per utilizzare meglio la piattaforma.,Tecnico
Errore durante l’aggiornamento,Durante l’aggiornamento del sistema si è verificato un errore critico.,Tecnico
Dati visualizzati in modo errato,Alcuni dati non vengono mostrati correttamente nelle dashboard.,Tecnico
Aiuto per analisi predittive,Vorrei supporto per implementare modelli di analisi predittiva.,Amministrazione
Richiesta documentazione,Avrei bisogno della documentazione tecnica più aggiornata.,Tecnico
Problemi con i permessi utente,Alcuni utenti non riescono ad accedere a determinate funzionalità.,Tecnico
Anomalia nel sistema,Abbiamo rilevato un comportamento anomalo del sistema che va verificato.,Tecnico
Integrazioni disponibili,Vorrei sapere con quali sistemi esterni la piattaforma può integrarsi.,Tecnico
Errori nei log,Nei log di sistema compaiono spesso errori durante l’elaborazione.,Tecnico
Limiti di scalabilità,Con grandi volumi di dati la piattaforma sembra andare in difficoltà.,Tecnico
Supporto urgente necessario,Abbiamo un problema critico e avremmo bisogno di supporto urgente.,Tecnico
Errore di configurazione iniziale,Credo ci sia un errore nella configurazione iniziale del sistema.,Tecnico
Problemi di latenza,Stiamo riscontrando forti ritardi nella comunicazione tra i servizi.,Tecnico
Audit di sicurezza,Saremmo interessati a fare un audit di sicurezza sui nostri sistemi.,Tecnico
Permessi non applicati correttamente,Alcuni permessi non vengono applicati come dovrebbero.,Tecnico
Errore nell’esportazione dei dati,Non riusciamo a esportare correttamente i dati in formato CSV.,Tecnico
Consulenza IT,Vorremmo una consulenza IT per migliorare l’architettura attuale.,Tecnico
Problemi di connessione al database,Il sistema perde spesso la connessione con il database.,Tecnico
Dati non aggiornati,I dati non si aggiornano in tempo reale come ci aspettavamo.,Tecnico
Supporto avanzato richiesto,Abbiamo bisogno di un supporto più avanzato per una configurazione personalizzata.,Tecnico
Errore di validazione,Il sistema segnala errori di validazione anche quando i dati sono corretti.,Tecnico
Prestazioni del sistema insufficienti,Le prestazioni generali del sistema sono inferiori alle nostre aspettative.,Tecnico
Aggiornamenti di sicurezza disponibili,Vi scrivo per sapere se sono disponibili nuovi aggiornamenti di sicurezza per la piattaforma.,Tecnico
Problemi nella gestione delle code,Stiamo riscontrando problemi nella gestione delle code di elaborazione e alcuni processi restano bloccati.,Tecnico
Difficoltà di accesso da remoto,Alcuni colleghi non riescono ad accedere alla piattaforma quando lavorano da remoto.,Tecnico
Integrazione con sistemi ERP,Vorrei avere maggiori informazioni su come integrare la piattaforma con il nostro sistema ERP.,Tecnico
Ricerche lente sui dati,"Le ricerche sui dati sono molto lente, probabilmente a causa di problemi di indicizzazione.",Tecnico
Problemi su dispositivi mobili,La piattaforma non funziona correttamente quando viene usata da smartphone o tablet.,Tecnico
Automazione dei processi,Vorremmo automatizzare alcuni processi operativi e avremmo bisogno di supporto.,Tecnico
Ruoli utente non assegnati,I ruoli degli utenti non vengono assegnati correttamente all’interno del sistema.,Tecnico
Dashboard non aggiornate,Le dashboard non si aggiornano in tempo reale come dovrebbero.,Tecnico
Funzionalità di intelligenza artificiale,Mi piacerebbe capire meglio quali funzionalità di intelligenza artificiale offre il sistema.,Tecnico
Errori nei dati inseriti,Il sistema segnala errori anche quando i dati inseriti sembrano corretti.,Tecnico
Consumo eccessivo di risorse,L’applicazione utilizza troppe risorse e rallenta il lavoro.,Tecnico
Ambienti di test separati,Avremmo bisogno di configurare ambienti di test separati da quelli di produzione.,Tecnico
Replica del database non funzionante,La replica del database non sembra funzionare correttamente.,Tecnico
Gestione delle versioni,Abbiamo difficoltà a gestire le diverse versioni del software.,Tecnico
Prossimi aggiornamenti del prodotto,Vorrei sapere quali aggiornamenti sono previsti per il prodotto.,Tecnico
Problemi di archiviazione dati,Stiamo riscontrando errori durante i processi di archiviazione dei dati.,Tecnico
Compatibilità con sistemi operativi,La piattaforma non funziona bene su alcuni sistemi operativi.,Tecnico
Sicurezza dei dati archiviati,Vorremmo migliorare la sicurezza dei dati che archiviamo nel sistema.,Tecnico
Gestione delle eccezioni,Il sistema non gestisce correttamente alcune situazioni di errore.,Tecnico
Lentezza del database,Il database risponde molto lentamente alle query.,Tecnico
Consulenza sulla data governance,Avremmo bisogno di una consulenza sulle politiche di gestione dei dati.,Tecnico
Aggiornamento firmware fallito,L’aggiornamento del firmware non va a buon fine.,Tecnico
Problemi di logging,Il sistema di logging non registra tutte le informazioni necessarie.,Tecnico
Interoperabilità con altri sistemi,Vorrei capire come rendere il sistema interoperabile con altre piattaforme.,Tecnico
Cluster configurato male,Il cluster sembra non essere configurato correttamente.,Tecnico
Failover non funzionante,Il sistema di failover non entra in funzione quando dovrebbe.,Tecnico
Alta disponibilità del sistema,Avremmo bisogno di aiuto per configurare una soluzione di alta disponibilità.,Tecnico
Sincronizzazione utenti,La sincronizzazione degli utenti tra i sistemi non funziona correttamente.,Tecnico
Criticità di sicurezza,Sono state individuate alcune criticità di sicurezza nell’applicazione.,Tecnico
Certificazioni di sicurezza,Vorrei informazioni sulle certificazioni di sicurezza possedute.,Tecnico
Interfaccia non caricata,L’interfaccia utente non si carica correttamente.,Tecnico
Problemi di cache,La cache causa la visualizzazione di dati non aggiornati.,Tecnico
Analisi big data,Avremmo bisogno di supporto per progetti di analisi big data.,Tecnico
Errori nella normalizzazione dei dati,I processi di normalizzazione dei dati producono errori.,Tecnico
Configurazione firewall,Ci sono problemi nella configurazione del firewall.,Tecnico
Funzionalità di machine learning,Vorrei maggiori dettagli sulle funzionalità di machine learning disponibili.,Tecnico
Accesso ai log negato,Non riusciamo ad accedere correttamente ai log di sistema.,Tecnico
Gestione delle patch,Le patch di sistema non vengono applicate correttamente.,Tecnico
Integrazione continua,Avremmo bisogno di aiuto per implementare pipeline di integrazione continua.,Tecnico
Errori di allocazione risorse,Si verificano errori nell’allocazione delle risorse.,Tecnico
Servizio instabile,Il servizio non è stabile e presenta frequenti interruzioni.,Tecnico
Consulenza sulla sicurezza IT,Vorremmo una consulenza approfondita sulla sicurezza IT.,Tecnico
Problemi con i certificati digitali,Il sistema non gestisce correttamente i certificati digitali.,Tecnico
Tracciabilità dei dati,Non riusciamo a garantire una corretta tracciabilità dei dati.,Tecnico
Supporto premium,Vorrei informazioni sulle opzioni di supporto premium.,Tecnico
Applicazione non si avvia,Dopo l’installazione l’applicazione non si avvia correttamente.,Tecnico
Aiuto per gestire gli incidenti,Vi contatto perché avremmo bisogno di supporto per gestire in modo più efficace gli incidenti di sistema.,Tecnico
Backup programmati non funzionano,I backup automatici non vengono eseguiti correttamente secondo la pianificazione.,Tecnico
Impossibile accedere ai report,Alcuni colleghi non riescono ad aprire i report disponibili sulla piattaforma.,Tecnico
Crittografia dei dati,Vorrei qualche informazione in più su come vengono crittografati e protetti i dati.,Tecnico
Errori nelle transazioni,Stiamo riscontrando errori nella gestione delle transazioni del sistema.,Tecnico
Modelli analitici non aggiornati,I modelli di analisi non si aggiornano correttamente con i nuovi dati.,Tecnico
Orchestrazione dei servizi,Avremmo bisogno di supporto per gestire meglio l’orchestrazione dei servizi.,Tecnico
Configurazioni non valide,Alcune configurazioni non vengono accettate dal sistema.,Tecnico
Ambienti non isolati correttamente,Gli ambienti di test e produzione non sembrano essere isolati come dovrebbero.,Tecnico
Audit interni,Vorrei informazioni sulle procedure di audit interno disponibili.,Tecnico
Workflow che non partono,I workflow configurati non vengono eseguiti correttamente.,Tecnico
Problemi nell’archiviazione documenti,Stiamo avendo difficoltà nell’archiviazione dei documenti.,Tecnico
Migliorare la qualità dei dati,Vorremmo supporto per migliorare la qualità dei dati che utilizziamo.,Tecnico
Replica dei servizi non funzionante,La replica dei servizi non funziona come previsto.,Tecnico
Problemi con l’hardware,La piattaforma presenta problemi con alcune configurazioni hardware.,Tecnico
Soluzioni di disaster recovery,Vorrei maggiori dettagli sulle soluzioni di disaster recovery disponibili.,Tecnico
Configurazioni dinamiche non applicate,Le configurazioni dinamiche non vengono applicate correttamente.,Tecnico
Bilanciamento del carico inefficace,Il bilanciamento del carico non distribuisce bene le richieste.,Tecnico
Controllo degli accessi,Avremmo bisogno di supporto per migliorare il controllo degli accessi.,Tecnico
Errori nella validazione dei dati,I processi di validazione dei dati restituiscono risultati errati.,Tecnico
Metadati non aggiornati,I metadati non vengono aggiornati correttamente.,Tecnico
Conformità alle normative,Vorrei informazioni sulla conformità della piattaforma alle normative.,Tecnico
Configurazioni non sincronizzate,Le configurazioni non sono sincronizzate tra i vari ambienti.,Tecnico
Problemi con le dipendenze software,Stiamo riscontrando problemi nella gestione delle dipendenze software.,Tecnico
Ottimizzazione dei costi,Vorremmo supporto per ottimizzare i costi dell’infrastruttura.,Tecnico
Code di messaggi bloccate,Le code di messaggi non vengono elaborate correttamente.,Tecnico
Servizio non sempre disponibile,Il servizio non è sempre disponibile durante l’orario di lavoro.,Tecnico
Scalabilità del sistema,Avremmo bisogno di una consulenza per migliorare la scalabilità del sistema.,Tecnico
Policy di sicurezza non aggiornate,Le policy di sicurezza non vengono aggiornate correttamente.,Tecnico
Eventi non tracciati,Il sistema non traccia correttamente tutti gli eventi.,Tecnico
Sicurezza perimetrale,Vorremmo migliorare la sicurezza perimetrale dei nostri sistemi.,Tecnico
Problemi di storage,Stiamo riscontrando errori nella configurazione dello storage.,Tecnico
Snapshot non funzionanti,La gestione delle snapshot non funziona correttamente.,Tecnico
Standard di sicurezza adottati,Vorrei informazioni sugli standard di sicurezza che adottate.,Tecnico
Notifiche critiche mancanti,Le notifiche critiche non vengono inviate correttamente.,Tecnico
Incongruenze nelle configurazioni,Abbiamo notato alcune incongruenze nelle configurazioni.,Tecnico
Migrazione verso il cloud,Avremmo bisogno di supporto per la migrazione dei sistemi verso il cloud.,Tecnico
Spazio disco insufficiente,Si verificano errori legati all’allocazione dello spazio disco.,Tecnico
Monitoraggio delle prestazioni,Il monitoraggio delle prestazioni non sembra fornire dati affidabili.,Tecnico
Supporto attivo 24/7,Vorrei informazioni sulle opzioni di supporto attivo 24 ore su 24.,Tecnico
Gestione delle credenziali,Il sistema non gestisce correttamente le credenziali di accesso.,Tecnico
Sicurezza dell’infrastruttura,Sono emerse alcune criticità nella sicurezza dell’infrastruttura.,Tecnico
Continuità operativa,Avremmo bisogno di una consulenza sulla continuità operativa.,Amministrazione
Log non sincronizzati,I log non vengono sincronizzati correttamente tra i sistemi.,Tecnico
Configurazioni centralizzate,La gestione centralizzata delle configurazioni presenta problemi.,Tecnico
Piani di servizio disponibili,Vorrei informazioni sui diversi piani di servizio disponibili.,Tecnico
Arresto anomalo del servizio,Il servizio si arresta improvvisamente senza preavviso.,Tecnico
Richiesta aggiornamento preventivo,Avremmo bisogno di un aggiornamento del preventivo inviato in precedenza.,Commerciale
Offerta scaduta,"L’offerta ricevuta risulta scaduta, è possibile rinnovarla?",Commerciale
Chiarimenti su tempi di risposta,Vorrei sapere quali sono i tempi di risposta previsti dopo l’invio di un preventivo.,Commerciale
Richiesta confronto offerte,Vorremmo confrontare diverse opzioni di offerta disponibili.,Commerciale
Problema con codice sconto,Il codice sconto ricevuto non sembra funzionare correttamente.,Tecnico
Richiesta condizioni per grandi volumi,Potete applicare condizioni particolari per grandi volumi di acquisto?,Commerciale
Errore quantità in ordine,La quantità indicata nell’ordine non è corretta.,Tecnico
Modifica indirizzo di consegna,Avremmo bisogno di modificare l’indirizzo di consegna dell’ordine.,Commerciale
Richiesta conferma prezzi,Potete confermare che i prezzi indicati siano definitivi?,Tecnico
Chiarimenti su validità offerta,Fino a quando resta valida l’offerta commerciale?,Commerciale
Problema con ordine online,Abbiamo riscontrato un problema durante l’invio di un ordine online.,Tecnico
Richiesta contatto post-vendita,Avrei bisogno di parlare con un referente commerciale post-vendita.,Commerciale
Errore nel riepilogo ordine,Il riepilogo dell’ordine presenta informazioni errate.,Tecnico
Richiesta upgrade contratto,Vorremmo effettuare un upgrade del contratto attuale.,Commerciale
Informazioni su nuovi prodotti,Siamo interessati a conoscere i nuovi prodotti disponibili.,Tecnico
Problema con sconto applicato,Lo sconto applicato non corrisponde a quanto concordato.,Tecnico
Richiesta modifica condizioni,Vorremmo modificare alcune condizioni commerciali.,Tecnico
Ordine bloccato,L’ordine risulta bloccato e non sappiamo come procedere.,Commerciale
Chiarimenti su penali di recesso,Vorrei maggiori dettagli sulle penali in caso di recesso anticipato.,Tecnico
Richiesta consulenza commerciale,Avremmo bisogno di una consulenza commerciale dedicata.,Commerciale
Errore prezzo unitario,Il prezzo unitario indicato non è corretto.,Tecnico
Richiesta proroga offerta,È possibile prorogare la validità dell’offerta?,Commerciale
Problema con rinnovo automatico,Il rinnovo automatico del servizio non è avvenuto come previsto.,Tecnico
Richiesta adeguamento prezzi,Vorremmo discutere un adeguamento dei prezzi.,Tecnico
Chiarimenti su servizi opzionali,Vorrei informazioni sui servizi opzionali disponibili.,Tecnico
Errore descrizione prodotto,La descrizione del prodotto in offerta non è corretta.,Tecnico
Richiesta nuova proposta,Potete inviarci una nuova proposta commerciale?,Commerciale
Ordine parzialmente evaso,L’ordine risulta solo parzialmente evaso.,Commerciale
Problema con conferma ordine,Non abbiamo ricevuto la conferma dell’ordine.,Tecnico
Richiesta variazione quantità,Vorremmo variare le quantità ordinate.,Tecnico
Chiarimenti su costi aggiuntivi,Sono previsti costi aggiuntivi rispetto a quanto indicato?,Tecnico
Errore totale ordine,Il totale dell’ordine non è corretto.,Tecnico
Richiesta assistenza commerciale urgente,Avremmo bisogno di assistenza commerciale urgente.,Commerciale
Problema con contratto attivo,Stiamo riscontrando un problema con un contratto attivo.,Tecnico
Richiesta estensione servizi,Vorremmo estendere i servizi inclusi nel contratto.,Commerciale
Chiarimenti su modalità di fatturazione,Vorrei chiarimenti sulle modalità di fatturazione commerciale.,Amministrazione
Errore configurazione ordine,L’ordine risulta configurato in modo errato.,Tecnico
Richiesta nuovo listino,Potete inviarci il nuovo listino prezzi?,Tecnico
Problema con offerte multiple,Abbiamo ricevuto più offerte e non sappiamo quale sia valida.,Tecnico
Richiesta revisione condizioni,Vorremmo rivedere alcune condizioni dell’accordo.,Tecnico
Errore applicazione promozione,La promozione non è stata applicata correttamente.,Tecnico
Richiesta informazioni su bundle,Vorrei informazioni su eventuali bundle disponibili.,Tecnico
Problema con upgrade servizio,L’upgrade richiesto non è stato applicato.,Tecnico
Richiesta verifica stato trattativa,Potete aggiornarmi sullo stato della trattativa commerciale?,Amministrazione
Chiarimenti su clausole contrattuali,Avrei bisogno di chiarimenti su alcune clausole del contratto.,Commerciale
Errore canone mensile,Il canone mensile indicato non è corretto.,Tecnico
Richiesta supporto pre-vendita,Avrei bisogno di supporto pre-vendita per valutare l’offerta.,Commerciale
Problema con condizioni concordate,Le condizioni applicate non corrispondono a quelle concordate.,Tecnico
Candidatura spontanea,"Buongiorno, vi invio il mio curriculum per una possibile opportunità lavorativa.",Amministrazione
Invio CV per posizione aperta,Ho visto una posizione aperta sul vostro sito e vi mando il mio CV in allegato.,Tecnico
Richiesta colloquio conoscitivo,Sarei interessato a un colloquio conoscitivo per valutare possibili collaborazioni.,Tecnico
Contatto diretto con CEO,È possibile parlare direttamente con il CEO per una proposta importante?,Tecnico
Richiesta stage,Sono uno studente universitario e vorrei sapere se offrite opportunità di stage.,Tecnico
Domanda su ambiente di lavoro,Vorrei avere informazioni sull’ambiente di lavoro e sulla cultura aziendale.,Tecnico
Richiesta sponsorizzazione evento,Stiamo organizzando un evento e vorremmo sapere se siete interessati a sponsorizzarlo.,Tecnico
Proposta di partnership non commerciale,Vi scrivo per proporre una collaborazione a livello istituzionale.,Commerciale
Invio candidatura per ufficio HR,Invio il mio curriculum per il reparto risorse umane.,Tecnico
Richiesta informazioni su carriera,Vorrei sapere quali sono le opportunità di carriera nella vostra azienda.,Tecnico
Segnalazione generica,Volevo solo segnalare che seguo con interesse le vostre attività.,Tecnico
Richiesta contatto stampa,Sono un giornalista e vorrei mettermi in contatto con il vostro ufficio stampa.,Tecnico
Invito a conferenza,Siete invitati come ospiti a una conferenza di settore.,Tecnico
Proposta di collaborazione accademica,Vi scrivo per proporre una collaborazione accademica con la nostra università.,Tecnico
Richiesta testimonial,Sareste disponibili a partecipare come testimonial a un nostro progetto?,Tecnico
Domanda su politica aziendale,Vorrei informazioni sulla vostra politica aziendale interna.,Tecnico
Segnalazione candidatura già inviata,Vi scrivo per confermare l’invio della mia candidatura.,Tecnico
Richiesta incontro istituzionale,Vorrei richiedere un incontro istituzionale con un vostro rappresentante.,Tecnico
Proposta editoriale,Vi contatto per proporvi una collaborazione editoriale.,Tecnico
Invio progetto personale,Vi mando un mio progetto personale per una vostra valutazione.,Tecnico
Richiesta mentoring,Sarei interessato a un percorso di mentoring professionale.,Tecnico
Domanda su smart working,Vorrei sapere se adottate politiche di smart working.,Tecnico
Richiesta lettera di referenze,È possibile ottenere una lettera di referenze?,Tecnico
Proposta pubblicitaria,Vi scrivo per proporvi una campagna pubblicitaria.,Tecnico
Domanda su selezioni in corso,Vorrei sapere se sono in corso selezioni aperte.,Tecnico
Richiesta supporto non specifico,Ho un problema ma non so a chi rivolgermi.,Tecnico
Invio candidatura per posizione non specificata,Invio il mio CV per future opportunità.,Tecnico
Richiesta partecipazione a evento aziendale,È possibile partecipare a un vostro evento aziendale?,Tecnico
Domanda su sede aziendale,Vorrei sapere dove si trova la vostra sede principale.,Tecnico
Richiesta visita aziendale,Sarebbe possibile organizzare una visita presso la vostra azienda?,Tecnico
Proposta di volontariato,Vi contatto per proporre attività di volontariato aziendale.,Tecnico
Domanda su valori aziendali,Vorrei maggiori informazioni sui vostri valori aziendali.,Tecnico
Richiesta intervista,Sarebbe possibile organizzare un’intervista con un vostro dirigente?,Tecnico
Segnalazione generica senza dettagli,Vi scrivo per una segnalazione generica.,Tecnico
Proposta di evento culturale,Vorremmo invitarvi a partecipare a un evento culturale.,Tecnico
Richiesta contatto generico,Chiedo di essere ricontattato.,Tecnico
Invio candidatura fuori profilo,Invio il mio CV anche se non ho trovato posizioni adatte.,Tecnico
Domanda su organigramma,Vorrei informazioni sull’organigramma aziendale.,Tecnico
Proposta di collaborazione artistica,Vi scrivo per proporre una collaborazione artistica.,Tecnico
Richiesta patrocinio,Chiediamo il patrocinio per una nostra iniziativa.,Amministrazione
Domanda su fondazione aziendale,Avete una fondazione o attività di responsabilità sociale?,Tecnico
Invio presentazione personale,Vi mando una presentazione personale per conoscenza.,Tecnico
Richiesta supporto personale,Ho una richiesta personale non legata ai vostri servizi.,Tecnico
Proposta di intervista podcast,Vorremmo intervistare un vostro rappresentante per un podcast.,Tecnico
Richiesta informazioni generiche,Vorrei semplici informazioni generali sulla vostra azienda.,Tecnico
Invio candidatura tardiva,Invio la mia candidatura anche se la selezione è chiusa.,Amministrazione
Proposta di networking,Vi scrivo per una proposta di networking professionale.,Tecnico
Richiesta contatto HR,Vorrei essere messo in contatto con il reparto HR.,Tecnico
